ImpactFactor,Journal,Year,Start,End,Duration ,Ecosystem,Meta,ContryAuthor,ContryStudy,DOI,Cited,Cool,Collector
3.333,Oecologia,2006,1934,2002,69,terrestrial,0,Canada,Switzerland,10.1007/s00442-006-0430-3 ,28,0,RZ
4.692,ConservBiol,2010,1948,2009,62,freshwater,0,Switzerland,Switzerland,10.1111/j.1523-1739.2010.01534.x,NA,1,WNH
5.102,EcolAppl,2010,1945,2006,62,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/08-1011.1,22,0,KB
4.85,Ecology,2010,1939,2001,62,terrestrial,1,USA,USA,http://dx.doi.org/10.1890/09-0442.1,NA,0,KK
4.78,Ecology,2006,1942,2004,62,terrestrial,1,USA,USA,http://dx.doi.org/10.1890/04-1781,70,0,KK
5.102,EcolAppl,2010,1940,2000,60,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/09-2168.1,9,0,KB
3.381,Oikos,2006,1943,2003,60,terrestrial,0,Finland,Finland,10.1111/j.2006.0030-1299.14652.x,29,0,JaFig
2.286,MEPS,2006,1946,2004,59,marine,1,Norway,multiple,10.3354/meps325227,53,1,MM
9.681,PNAS,2010,1951,2008,58,terrestrial,0,USA,USA,10.1073/pnas.0915062107,17,1,AKO
2.711,MEPS,2010,1950,2007,57,marine,0,Norway,multiple,10.3354/meps08620,NA,1,BM
4.85,Ecology,2010,1950,2007,57,terrestrial,1,USA,USA,http://dx.doi.org/10.1890/09-1057.1,NA,0,KK
3.393,Oikos,2010,1953,2008,56,terrestrial,0,Canada,multiple,10.1111/j.1600-0706.2009.17959.x,NA,1,JO
3.393,Oikos,2010,1953,2008,56,terrestrial,0,Canada,Global,10.1111/j.1600-0706.2009.17959.x,NA,1,JO
17.557,EcologyLetters,2010,1950,2004,55,freshwater,1,France,multiple,10.1111/j.1461-0248.2009.01432.x,NA,0,KdeN
3.412,Oecologia,2010,1954,2008,55,terrestrial,0,South Africa,South Africa,10.1007/s00442-009-1490-y,NA,1,MS
9.643,PNAS,2006,1950,2004,55,marine,0,France,multiple,10.1073/pnas.0510397103 ,44,1,AKO
9.681,PNAS,2010,1950,2004,55,marine,0,USA,multiple,10.1073/pnas.1003236107,23,1,AKO
30.028,Science,2006,1950,2004,55,marine,1,usa,multiple,10.1126/science.1135347 ,96,0,ST
4.78,Ecology,2006,1950,2005,55,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/0012-9658(2006)87[2523:TIOAAF]2.0.CO;2,31,,KK
5.102,EcolAppl,2010,1954,2008,54,terrestrial,0,South Africa,South Africa,_http://dx.doi.org/10.1890/09-0929.1,10,0,KB
36.28,Nature,2010,1956,2008,53,freshwater,0,usa,USA,doi:10.1038/nature09060,NA,0,JF
3.333,Oecologia,2006,1951,2004,53,terrestrial,0,China,China,10.1007/s00442-006-0425-0 ,68,0,RZ
3.393,Oikos,2010,1957,2009,53,multiple,0,USA,multiple,10.1111/j.1600-0706.2009.17630.x,NA,0,JO
9.643,PNAS,2006,1950,2002,53,terrestrial,0,USA,multiple,10.1073/pnas.0508929103 ,110,1,AKO
3.393,Oikos,2010,1957,2009,53,multiple,0,USA,Global,10.1111/j.1600-0706.2009.17630.x,NA,0,JO
26.681,Nature,2006,1951,2002,52,marine,0,usa,USA,doi:10.1038/nature05232,133,0,JF
3.333,Oecologia,2006,1951,2002,52,terrestrial,0,USA,multiple,10.1007/s00442-006-0468-2 ,16,0,RZ
9.643,PNAS,2006,1950,2001,52,marine,1,USA,multiple,10.1073/pnas.0510964103 ,110,1,AKO
30.028,Science,2006,1930,1999,52,terrestrial,0,uk,multiple,10.1126/science.1127863,375,0,ST
9.647,CurrBiol,2010,1980,2005,51,terrestrial,0,Netherlands,multiple,10.1016/j.cub.2009.11.074,NA,1,MM
3.393,Oikos,2010,1950,2000,51,terrestrial,0,USA,NA,10.1111/j.1600-0706.2010.18544.x,NA,1,JO
3.393,Oikos,2010,1958,2008,51,multiple,0,USA,multiple,10.1111/j.1600-0706.2009.18039.x,NA,1,JO
30.028,Science,2006,1955,2005,51,terrestrial,0,usa,tanzania,10.1126/science.1132780,50,0,ST
4.85,Ecology,2010,1955,2006,51,terrestrial,1,Canada,Canada,http://dx.doi.org/10.1890/MS08-1032.1,NA,1,KK
17.557,EcologyLetters,2010,1959,2008,50,terrestrial,0,USA,USA,10.1111/j.1461-0248.2010.01504.x,NA,0,KdeN
3.333,Oecologia,2006,1955,2004,50,terrestrial,0,Netherlands,Netherlands,10.1007/s00442-005-0299-6,115,1,MS
4.85,Ecology,2010,1958,2008,50,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/08-1738.1,NA,1,KK
17.557,EcologyLetters,2010,1962,2009,48,terrestrial,0,USA,USA,10.1111/j.1461-0248.2010.01524.x,NA,1,KdeN
2.711,MEPS,2010,1963,2009,47,marine,0,USA,USA,10.3354/meps08743,9,1,MM
3.412,Oecologia,2010,1961,2007,47,marine,0,USA,USA,10.1007/s00442-009-1534-3,NA,1,MS
2.711,MEPS,2010,1961,2006,46,marine,0,Netherlands,multiple,10.3354/meps08491,NA,0,BM
3.381,Oikos,2006,1958,2004,46,terrestrial,0,France,Switzerland,10.1111/j.2006.0030-1299.15010.x ,1,0,JaFig
