NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Advancing the Science of Climate Change,"Bayley, P. B. 1981. Fish yield from the Amazon in Brazil—comparison with African river yields and management possibilities. Transactions of the American Fisheries Society 110(3):351-359.",Bayley,T AM FISH SOC,1981,1977,1977,1,freshwater,Brazil,Brazil,10.1577/1548-8659(1981)110<351:FYFTAI>2.0.CO;2,36,,0,,,Rose,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Dwyer, F.J, S.A. Burch, C.G. Ingersol, and J.B. Hunn. 1992. Toxicity of trace element and salinity mixtures to striped bass (Morone saxatilis) and Daphnia magna. Environmental Toxicology and Chemistry 11:513-520.",Dwyer,ENVIRON TOXICOL CHEM,1992,1988,1988,1,freshwater,USA,USA,10.1897/1552-8618(1992)11[513:TOTEAS]2.0.CO;2,34,1.62,,Toxicity of trace element and salinity mixtures to striped bass (Morone saxatilis) and Daphnia magna,None,Robinson,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Hulot, F.D., G. Lacroix, F. Lescher­Moutoue?, and M. Loreau. 2000. Functional diversity governs ecosystem response to nutrient enrichment. Nature 405(6784):340­344.",Hulot,NATURE,2000,1990,1990,1,freshwater,France,France,10.1038/35012591,132,,0,,,Rose,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Anderson, M. J. D. Cacela, D. J. Beltman, S. J. The, M. S. Okihio, D. E. Hinton, N. D. Denslow, and J. T. Zelikoff, Judith. Biochemical and toxicopathic biomarkers assessed in smallmouth bass recovered from a polychlorinated biphenyl-contaminated river. Biomarkers 8(5): 371-393.",Anderson,BIOMARKERS,2003,1995,1995,1,freshwater,USA,USA, 10.1080/13547500310001619293,19,,0,Effect of river contamination on smallmouth bass,NA,GrorudColvert,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010 (2010),"Slate, J. E., and R. J. Stevenson. 2000. Recent and abrupt changes in the Florida Everglades indicated by siliceous microfossils. Wetlands 20:346–356.",Slate,WETLANDS,2000,1995,1995,1,freshwater,USA,USA,10.1672/0277-5212(2000)020[0346:RAAECI]2.0.CO;2,27,,0,Change in Everglades' community of siliceous organisms,Sediment cores collected in 1995 and corresponded to 1945-1995.,Shen,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Missouri River Planning: Recognizing and Incorporating Sediment Management,"Bonner, T. H., and G. R. Wilde. 2002. Effect of turbidity on feeding efficiency of prairie stream fishes: test of a hypothesis. Transactions of the American Fisheries Society 131:1203- 1208.",Bonner,T AM FISH SOC,2002,1999,1999,1,freshwater,USA,USA,10.1577/1548-8659(2002)131<1203:EOTOPC>2.0.CO;2,25,2.27,,Effect of turbidity on feeding efficiency of prairie stream fishes: test of a hypothesis.,None,Robinson,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Erickson, D. L., J. A. North, J. E. Hightower, J. Weber, and L. Lauck. 2002. Movement and habitat use of green sturgeon Acipenser medirostris in the Rogue River, Oregon, USA. Journal of Applied Ichthyology 18: 565-569.",Erickson,J APPL ICHTHYOL,2002,2000,2000,1,freshwater,USA,USA,10.1046/j.1439-0426.2002.00403.x,35,3.18,,"Movement and habitat use of green sturgeon Acipenser medirostris in the Rogue River, Oregon, USA.",None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Engstrom, D. R., S. P. Schottler, P. R. Leavitt, and K. E. Havens. 2006. A reevaluation of the cultural eutrophication of Lake Okeechobee using multiproxy sediment records. Ecological Applications 16:1194–1206.",Engstrom,ECOL APPL,2006,2003,2003,1,freshwater,USA,USA,10.1890/1051-0761(2006)016[1194:AROTCE]2.0.CO;2,24,3.43,0,Recent environmental impacts on Lake Okeechobee ecosystem,None,Close,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Rehage, J. S., and J. C. Trexler. 2006. Assessing the net effect of anthropogenic disturbance on aquatic communities in wetlands: Community structure relative to distance from canals. Hydrobiologia 569:359–373.",Rehage,HYDROBIOLOGIA,2006,2003,2003,1,freshwater,USA,USA,10.1007/s10750-006-0142-z,25,,0,,,Rose,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Lehman, P. W., S. J. The, G. L. Boyer, M. L. Nobriga, E. Bass, and C. Hogle. 2010. Initial impacts of Microcystis aeruginosa blooms on the aquatic food web in the San Francisco estuary. Hydrobiologia 637:229-248.",Lehman,HYDROBIOLOGIA,2010,2005,2005,1,freshwater,USA,USA,10.1007/s10750-009-9999-y,17,,0,Effects of a harmful algal bloom on an aquatic food web,None,Shen,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Chapman, P.M., H. Bailey, and E. Canaria. 2000. Toxicity of total dissolved solids associated with two mine effluents to chironomid larvae and early life stages of rainbow trout. Environmental Toxicology and Chemistry 19:210-214.",Chapman,ENVIRON TOXICOL CHEM,2000,9999,9999,1,freshwater,Canada,Canada,10.1897/1551-5028(2000)019<0210:TOTDSA>2.3.CO;2,29,2.23,,Toxicity of total dissolved solids associated with two mine effluents to chironomid larvae and early life stages of rainbow trout.,None,Robinson,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Goetsch, P.A., and C.G. Palmer. 1997. Salinity tolerances of selected macroinvertebrates of the Sabie River, Kruger National Park, South Africa. Archives of Environmental Contamination and Toxicology 32:32-41.",Goetsch,ARCH ENVIRON CON TOX,1997,9999,9999,1,freshwater,South Africa,South Africa,NA,24,,0,What is the effect of elevated salt concentrations on mayfly found in rivers in Kruger National Park,NA,GrorudColvert,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Folmar, L.C., H.O. Sanders, and A.M. Julin. 1979. Toxicity of the herbicide glyphosate and several of its formulations to fish and aquatic invertebrates. Archives of Environmental
Contamination and Toxicology 8(3):269–278.",Folmar,ARCH ENVIRON CON TOX,1979,9999,9999,1,freshwater,USA,USA,NA,122,,0,What are the effects of glyphosate on four non-target aquatic species?,None,Reimer,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Stiven, A.E. 1964. Experimental studies on the host parasite system hydra and Hydramoeba hydroxena (Entz). II. The components of a single epidemic. Ecological Monographs
34:119-142.",Stiven,ECOL MONOGR,1964,9999,9999,1,freshwater,USA,USA,NA,NA,,0,Epidemiology of the host-parasite system of the hydra and an amoeba,Many experiments lasting several days,Shen,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Soucek, D.J. 2007. Bioenergetic effects of sodium sulfate on the freshwater crustacean, Ceriodaphnia dubia. Ecotoxicology 16(3):317-325.",Soucek,ECOTOXICOLOGY,2007,9999,9999,1,freshwater,USA,USA,10.1007/s10646-007-0133-5 ,10,,0,"effect of sodium sulfate on freshwater crustacean, Ceriodaphnia",NA,ALL,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Allen, P. J., and J. J. Cech, Jr. 2007. Age/size effects on juvenile green sturgeon, Acipenser medirostris, oxygen consumption, growth, and osmoregulation in saline environments. Environmental Biology of Fishes 79: 211- 229.",Allen,ENV BIOL FISH,2007,9999,9999,1,freshwater,USA,USA,10.1007/s10641-006-9049-9,17,2.83,0,How does age affect osmoregulation of sturgeon in different salinities,NA,Cerny-Chipman,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Peacor, S.D. and E.E. Werner. 2001. The contribution of trait mediated indirect effects to the
net effects of a predator. Proceedings of the National Academy of Sciences of the United States
of America 98(7):3904-3908.",Peacor,P NATL ACAD SCI USA,2001,9999,9999,1,freshwater,USA,USA,10.1073/pnas.071061998,179,,0,"Lethal vs. nonlethal effects of a predator, a larval dragonfly, on prey, bullfrng tadpoles",None,Shen,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Pickhardt, P. C., C. L. Folt, C. Y. Chen, B. Klaue, and J. D. Blum. 2002. Algal blooms reduce the uptake of toxic methylmercury in freshwater food webs. Proceedings of the National Academy of Sciences of the United States of America 99:4419–4423.",Pickhardt,P NATL ACAD SCI USA,2002,9999,9999,1,freshwater,USA,USA,10.1073/pnas.072531099,159,,0,Effect of algal bloom on mercury concentrations in zooplankton,None,Shen,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"Evaluation of a Site-Specific Risk Assessment for the Department of Homeland Security's Planned National Bio- and Agro-Defense Facility in Manhattan, Kansas","Baylor, E.R., M.B. Baylor, D.C. Blanchard, L.D. Syzdek, and C. Appel. 1977. Virus transfer from surf to wind. Science 198(4317):575-580.",Baylor,SCIENCE,1977,1976,1976,1,marine,USA,USA,10.1126/science.918656,50,1.39,0,The paper demonstrates that viruses in seawater can be transferred to the air by the surf and carried by the wind,NA,Cerny-Chipman,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
