,V1,V2,V3,V4,V5,Intro,Intro,1,2,2._TEXT,3._1,3._2,3._3,3._4,3._5,3._7,3._8,3._9,3._10,3._11,3._12,3._13,3._14,3._15,3._16,3.5_2,3.5_3,3.5_4,3.5_5,Info,4._1,4._2,5,6,Info,7._1,7._2,7._3,7._4,7._5,7._6,7._7,8._1_Group,8._1_Rank,8._2_Group,8._2_Rank,8._3_Group,8._3_Rank,8._4_Group,8._4_Rank,8._5_Group,8._5_Rank,8._6_Group,8._6_Rank,8._7_Group,8._7_Rank,9._10_Group,9._10_Rank,9._11_Group,9._11_Rank,9._12_Group,9._12_Rank,9._13_Group,9._13_Rank,Info,10._1,10._2,10._3,10._4,11._10_Group,11._10_Rank,11._11_Group,11._11_Rank,11._12_Group,11._12_Rank,11._13_Group,11._13_Rank,11.5,11.5_TEXT,12._1,12._2,13._1,14._1,15,End
RespondentNUM,ResponseID,ResponseSet,StartDate,EndDate,Finished,We invite you to participate in a brief survey for our research entitled “Assessing the importance o...,This study presents no foreseeable risks to participants and we do not anticipate any issues with da...,"In total, on how many NRC report committees have you sat as a member or chair?",Which of the following most closely describes your profession at the time you were an NRC report com...,Which of the following most closely describes your profession at the time you were an NRC report com...-TEXT,"Which of the following describes your field(s) of expertise? (check all that apply)-Agriculture, Food, and Renewable Resources",Which of the following describes your field(s) of expertise? (check all that apply)-Anthropology,Which of the following describes your field(s) of expertise? (check all that apply)-Atmospheric and Hydrospheric Sciences,Which of the following describes your field(s) of expertise? (check all that apply)-Biology,Which of the following describes your field(s) of expertise? (check all that apply)-Chemistry,Which of the following describes your field(s) of expertise? (check all that apply)-Education,Which of the following describes your field(s) of expertise? (check all that apply)-Engineering,Which of the following describes your field(s) of expertise? (check all that apply)-Geology and Geography,Which of the following describes your field(s) of expertise? (check all that apply)-Mathematics,Which of the following describes your field(s) of expertise? (check all that apply)-Medical Sciences,Which of the following describes your field(s) of expertise? (check all that apply)-Natural Resources,Which of the following describes your field(s) of expertise? (check all that apply)-Physics,Which of the following describes your field(s) of expertise? (check all that apply)-Psychology,"Which of the following describes your field(s) of expertise? (check all that apply)-Social, Economic, and Political Sciences",Which of the following describes your field(s) of expertise? (check all that apply)-Statistics,"Within the field of biology, which of the following describes your field(s) of expertise? (check all...-Ecology","Within the field of biology, which of the following describes your field(s) of expertise? (check all...-Evolution","Within the field of biology, which of the following describes your field(s) of expertise? (check all...-Molecular Biology","Within the field of biology, which of the following describes your field(s) of expertise? (check all...-Physiology",The following questions ask you to reflect on the most recent NRC report for which you served as com...,What was the most recent NRC report for which you served as committee member or chair? Please select...-Year,What was the most recent NRC report for which you served as committee member or chair? Please select...-Report,Did the NRC committee on which you served include anyone with expertise in ecology?,Did you cite ecology-related references in your NRC report?,The following three questions ask about the importance of different factors in citing ecology refere...,How important was each factor for citing an ecology reference in your NRC report?-Study authors,How important was each factor for citing an ecology reference in your NRC report?-Journal prestige/ impact factor,How important was each factor for citing an ecology reference in your NRC report?-Temporal extent of study,How important was each factor for citing an ecology reference in your NRC report?-Spatial extent of study,How important was each factor for citing an ecology reference in your NRC report?-Publication date,How important was each factor for citing an ecology reference in your NRC report?-Location of study,How important was each factor for citing an ecology reference in your NRC report?-Study conclusions,"For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Study authors-Group","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Study authors-Rank","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Journal prestige/impact factor-Group","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Journal prestige/impact factor-Rank","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Temporal duration of study-Group","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Temporal duration of study-Rank","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Spatial extent of study-Group","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Spatial extent of study-Rank","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Publication date-Group","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Publication date-Rank","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Location of study-Group","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Location of study-Rank","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Study conclusions-Group","For the same factors, how important was each factor for citing an ecology reference in your NRC repo...-Study conclusions-Rank","Of the ecology references, how important were studies of the following durations to the conclusions...-1 year or less-Group","Of the ecology references, how important were studies of the following durations to the conclusions...-1 year or less-Rank","Of the ecology references, how important were studies of the following durations to the conclusions...-2-5 years-Group","Of the ecology references, how important were studies of the following durations to the conclusions...-2-5 years-Rank","Of the ecology references, how important were studies of the following durations to the conclusions...-6-10 years-Group","Of the ecology references, how important were studies of the following durations to the conclusions...-6-10 years-Rank","Of the ecology references, how important were studies of the following durations to the conclusions...-10+ years-Group","Of the ecology references, how important were studies of the following durations to the conclusions...-10+ years-Rank",The following three questions ask about the frequency with which you cited ecology references in you...,"Of the ecology references, how often did you cite studies that included each of the following study...-Theoretical, modeling","Of the ecology references, how often did you cite studies that included each of the following study...-Empirical, with primary data","Of the ecology references, how often did you cite studies that included each of the following study...-Review","Of the ecology references, how often did you cite studies that included each of the following study...-Meta-analysis","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-1 year or less-Group","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-1 year or less-Rank","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-2-5 years-Group","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-2-5 years-Rank","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-6-10 years-Group","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-6-10 years-Rank","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-10+ years-Group","Of the ecology references, how often did you cite studies of the following durations? Drag and drop...-10+ years-Rank",How would you best explain why you cited 6-10 and 10+ year studies least often?,How would you best explain why you cited 6-10 and 10+ year studies least often?-TEXT,To what level do you agree or disagree with the following statements?-Our NRC committee was more inclined to cite a study if it used a long-term data set (6+ years).,To what level do you agree or disagree with the following statements?-Our NRC committee was more inclined to cite a study if it used a short-term data set.,To what level do you agree or disagree with the following statement?-Long-term ecological data sets provide information that short-term studies cannot provide.,To what level do you agree or disagree with the following statement?-Long-term ecological data are important for informing policy.,Please enter any other comments you’d like to share with us about ecology-related references in NRC...,Thank you for your participation in this survey. Please feel free to contact the Principal Investiga...
1,R_7NCBtlYMvnH5ia9,Default Response Set,8/29/13 14:05,8/29/13 14:06,1,1,1,1 report,Agency scientist / resource management scientist,,,,,,,,,Geology and Geography,,,,,,,,,,,,1,2010,Tsunami Warning and Preparedness: An Assessment of the U.S. Tsunami Program and the Nation's Preparedness Efforts,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,,1
2,R_3Jej0w3MHs08rE9,Default Response Set,8/29/13 14:05,8/29/13 14:09,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,Medical Sciences,,,,,,,,Molecular Biology,,1,2010,Final Report of The National Academies Human Embryonic Stem Cell Research Advisory Committee and 2010 Amendments to the National Academies Guidelines for Human Embryonic Stem Cell Research,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,1
3,R_8hQaeZkndXHOf9X,Default Response Set,8/29/13 14:08,8/29/13 14:11,1,1,1,1 report,Professor / academic researcher,,,,,Biology,Chemistry,,,,,,,,,,,,,Molecular Biology,,1,2010,Review of the Environmental Protection Agency's Draft IRIS Assessment of Tetrachloroethylene,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Agree,,1
4,R_50Xhl1XhZFY9seV,Default Response Set,8/29/13 14:03,8/29/13 14:12,1,1,1,2-3 reports,Professor / academic researcher,,,,,Biology,,,,,,,Natural Resources,,,,,Ecology,,,,1,2010,Review of the St. Johns River Water Supply Impact Study: Report 3,Yes,Yes,1,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Factor Importance,5,Factor Importance,6,Factor Importance,3,Factor Importance,2,Factor Importance,7,Factor Importance,4,Factor Importance,1,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Frequently,Frequently,Unable to Rate,Citation Frequency,3,Citation Frequency,1,Citation Frequency,2,Citation Frequency,4,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Too often I felt committee chair exerted inordinate conrol of how results were to be interpreted and used.,1
5,R_agfBBTFYjes5aqp,Default Response Set,8/29/13 14:31,8/29/13 14:38,1,1,1,4 or more reports,Professor / academic researcher,,,,,,Chemistry,,,,,,,,,,,,,,,1,2010,BioWatch and Public Health Surveillance: Evaluating Systems for the Early Detection of Biological Threats: Abbreviated Version,Yes,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
6,R_8ksK30AtaXp5JPf,Default Response Set,8/29/13 14:12,8/29/13 14:48,1,1,1,1 report,Professor / academic researcher,,,,,Biology,,,,,Mathematics,,Natural Resources,,,,,Ecology,,,,1,2010,A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California's Bay Delta,Yes,Yes,1,Somewhat Important,Neither Important nor Unimportant,Neither Important nor Unimportant,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Factor Importance,3,Factor Importance,6,Factor Importance,7,Factor Importance,5,Factor Importance,4,Factor Importance,2,Factor Importance,1,Citation Frequency,2,Citation Frequency,1,Citation Frequency,3,Citation Frequency,4,1,Infrequently,Always,Frequently,Infrequently,Citation Frequency,4,Citation Frequency,1,Citation Frequency,2,Citation Frequency,3,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,1
7,R_emlLZoNcfizCxpj,Default Response Set,8/29/13 14:55,8/29/13 15:00,1,1,1,1 report,Professor / academic researcher,,"Agriculture, Food, and Renewable Resources",,,,,,,,,,,,,,,,,,,1,2010,Impact of Genetically Engineered Crops on Farm Sustainability in the United States,Yes,Yes,1,Very Important,Somewhat Important,Somewhat Important,Neither Important nor Unimportant,Neither Important nor Unimportant,Neither Important nor Unimportant,Neither Important nor Unimportant,Factor Importance,1,Factor Importance,2,Factor Importance,5,Factor Importance,7,Factor Importance,4,Factor Importance,6,Factor Importance,3,Citation Frequency,4,Citation Frequency,3,Citation Frequency,2,Citation Frequency,1,1,Frequently,Infrequently,Frequently,Infrequently,,,,,,,,,,,Disagree,Disagree,Agree,Agree,,1
8,R_8B6JB3eRZ656fnT,Default Response Set,8/29/13 14:53,8/29/13 15:05,1,1,1,2-3 reports,Professor / academic researcher,,,,Atmospheric and Hydrospheric Sciences,,,,,,,Medical Sciences,,,,,,,,,,1,2010,Review of the Department of Defense Enhanced Particulate Matter Surveillance Program Report,No,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,1
9,R_6VAlAsW39NOmXWt,Default Response Set,8/29/13 15:01,8/29/13 15:06,1,1,1,4 or more reports,Professor / academic researcher,,,,,,,,Engineering,,,,,,,,,,,,,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,it really depends on the nature of the study as to what type of data is most useful,1
